"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","abbreviation","stream_type","location","comment","geometry"
"1","Site-01","Base","None",-85.9792951397977,30.5818340156135,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210336.187962592, 731979.113990382)
"2","Site-02","Base","None",-85.9783880203201,30.583619714196,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210426.283329968, 732175.846497922)
"3","Site-03","Base","None",-85.9800969236747,30.5799666131025,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210256.037101115, 731773.154574806)
"4","Site-04","Base","None",-85.9792967479269,30.5670056112994,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210309.6239307, 730333.861114246)
"5","Site-05","Base","None",-86.0386400823358,30.5761947760892,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","headwaters_sevens_run_above_first_confluence","no_comment",c(204639.677898509, 731446.074546437)
"6","Site-06","Base","None",-86.0282821572494,30.5748373524688,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","headwaters_sevens_run_above_first_confluence","no_comment",c(205629.69954575, 731279.097627666)
"7","Site-07","Base","None",-86.0161970035244,30.568360008489,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","just_below_first_confluence","road_crossing",c(206775.967162612, 730541.427058729)
"8","Site-08","Base","None",-85.9780428366482,30.5587196887288,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_fifth_confluence_mck_br","no_comment",c(210415.03695971, 729412.577493428)
"9","Site-09","Base","None",-85.9635395229751,30.5569900601066,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_sixth_and_seventh_confluences_sm_br","road_crossing",c(211801.931737715, 729198.451560834)
"10","Site-10","Base","None",-85.9625686275064,30.5571525512366,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_sixth_and_seventh_confluences_sm_br","road_crossing",c(211895.267794252, 729214.999312802)
"11","Site-11","Base","None",-85.9434420631849,30.5858379254655,"otr",3258.64750652738,0.000306875781439049,"mi_br","otr","tip_near_hwy81_rockhill_road","ponds_visible_world_imagery",c(213778.49166552, 732368.714153254)
"12","Site-12","Base","None",-85.9668027643495,30.5635060955636,"otr",3258.64750652738,0.000306875781439049,"sm_br","otr","below_confluence_with_unnamed_trib","sand_plant_road_to_west",c(211500.720069892, 729926.417861911)
"13","Site-13","Base","None",-85.9846075268447,30.5487768541786,"otr",3258.64750652738,0.000306875781439049,"s_un_trib2","otr","confluences_near_mckinnon_branch","no_comment",c(209768.142739761, 728319.484460482)
"14","Site-14","Base","None",-85.9193699066788,30.5494956845534,"otr",3258.64750652738,0.000306875781439049,"n_un_trib3","otr","crosses_hwy_81","impoundment",c(216022.146196419, 728300.257387619)
"15","Site-15","Base","None",-85.9166393941295,30.5672936829547,"otr",3258.64750652738,0.000306875781439049,"n_un_trib3","otr","crosses_hwy_81","impoundment",c(216314.550012566, 730270.965557227)
"16","Site-16","Base","None",-85.9668373515146,30.5704753558943,"otr",3258.64750652738,0.000306875781439049,"sm_br","otr","below_confluence_with_unnamed_trib","sand_plant_road_to_west",c(211509.739947518, 730699.73615572)
"17","Site-17","Base","None",-85.9815942942931,30.5573623091638,"otr",3258.64750652738,0.000306875781439049,"s_un_trib2","otr","confluences_near_mckinnon_branch","no_comment",c(210072.25672883, 729267.435457662)
"18","Site-18","Base","None",-85.9714466265882,30.5508138635959,"otr",3258.64750652738,0.000306875781439049,"gh_br","otr","uppertip_encompassed_by_three_roads","no_comment",c(211033.171213633, 728525.26540498)
"19","Site-19","Base","None",-85.9649359812039,30.5809209946148,"otr",3258.64750652738,0.000306875781439049,"sm_br","otr","above_confluence_with_unnamed_trib","sand_plant_road_to_west",c(211710.410242346, 731855.806879534)
"20","Site-20","Base","None",-85.9990879668542,30.5782011263321,"otr",3258.64750652738,0.000306875781439049,"pa_br","otr","middle_reach_piece","no_comment",c(208433.188431396, 731606.631450377)
"21","Site-21","Over","Next",-85.9819628024937,30.5743621400375,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210067.257996103, 731154.195523504)
"22","Site-22","Over","Next",-85.9795225074831,30.5694957096753,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210292.425054544, 730610.493410342)
"23","Site-23","Over","Next",-86.0043002380513,30.564024270438,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","just_below_first_confluence","road_crossing",c(207908.186030699, 730041.776495114)
"24","Site-24","Over","Next",-85.9841403771942,30.5606248216082,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","just_below_third_confluence","no_comment",c(209834.070565383, 729633.34860878)
"25","Site-25","Over","Next",-85.948877914957,30.5542870491359,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_ninth_confluence_ca_br","road_crossing_nearby_on_mi_br",c(213202.33819883, 728876.246767445)
"26","Site-26","Over","Next",-85.9274022745898,30.548106080623,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_tenth_confluence_mi_br","no_comment",c(215249.868515974, 728158.081790831)
